Entrez ID	Gene Symbol	Gene Name	Refseq mRNA	Refseq Protein	Ensembl Gene ID	UCSC Genomic Coordinates	GO Categories	Sources
1072	CFL1	cofilin 1 (non-muscle)	NM_005507	NP_005498.1	ENSG00000172757	chr11:65380266 - 65382579	actin binding;actin cytoskeleton organization and biogenesis;anti-apoptosis;cytoplasm;cytoskeleton;intracellular;nucleus;protein binding;Rho protein signal transduction	Tumor Suppressor
8837	CFLAR	CASP8 and FADD-like apoptosis regulator	NM_001127184, NM_003879, NM_001127183	NP_001120656.1, NP_003870.4, NP_001120655.1	ENSG00000003402	chr2:201702833 - 201736941	anti-apoptosis;caspase activity;induction of apoptosis by extracellular signals;positive regulation of I-kappaB kinase/NF-kappaB cascade;protein binding;proteolysis;regulation of apoptosis;signal transducer activity	TNF_alpha_NF_kB,  Tumor Suppressor
26038	CHD5	chromodomain helicase DNA binding protein 5	NM_015557	NP_056372.1	ENSG00000116254	chr1:6088926 - 6162670	ATP binding;ATP-dependent helicase activity;chromatin;chromatin assembly or disassembly;chromatin binding;chromatin modification;chromatin remodeling;DNA binding;helicase activity;hydrolase activity;metal ion binding;nervous system development;nucleotide binding;nucleus;protein binding;regulation of transcription, DNA-dependent;transcription;zinc ion binding	Tumor Suppressor
11200	CHEK2	CHK2 checkpoint homolog (S. pombe)	NM_001005735, NM_145862, NM_007194	NP_001005735.1, NP_665861.1, NP_009125.1	ENSG00000183765	chr22:27413884 - 27460709	ATP binding;cell cycle;DNA damage checkpoint;DNA damage response, signal transduction resulting in induction of apoptosis;magnesium ion binding;nucleotide binding;nucleus;PML body;protein amino acid phosphorylation;protein binding;protein serine/threonine kinase activity;transferase activity	Futreal et al 2004,  Protein Kinase,  Stability,  Tumor Suppressor,  Frameshift mutation
55743	CHFR	checkpoint with forkhead and ring finger domains	NM_018223	NP_060693.1	ENSG00000072609	chr12:131928212 - 131973987	cell cycle;cell division;cellular_component;ligase activity;metal ion binding;mitosis;mitotic checkpoint;nucleus;protein binding;ubiquitin cycle;zinc ion binding	Tumor Suppressor
10752	CHL1	cell adhesion molecule with homology to L1CAM (close homolog of L1)	NM_006614	NP_006605.2	ENSG00000134121	chr3:336459 - 422394	apical part of cell;axon guidance;behavior;cell adhesion;cell differentiation;dendrite;integral to membrane;membrane;multicellular organismal development;nervous system development;neurite development;neuron migration;protein binding;proteinaceous extracellular matrix;signal transduction	Tumor Suppressor
5119	CHMP1A	chromatin modifying protein 1A	NM_002768, NM_001083314	NP_002759.2, NP_001076783.1	ENSG00000131165	chr16:88239974 - 88251497	cell cycle;condensed nuclear chromosome;early endosome;endomembrane system;gene silencing;metallopeptidase activity;microtubule organizing center;mitotic chromosome condensation;negative regulation of S phase of mitotic cell cycle;negative regulation of transcription by glucose;negative regulation of transcription, DNA-dependent;nuclear matrix;nucleus;protein binding;protein transport;transcription;vesicle-mediated transport;zinc ion binding	Tumor Suppressor
1147	CHUK	conserved helix-loop-helix ubiquitous kinase	NM_001278	NP_001269.3	ENSG00000107566	chr10:101939344 - 101979279	anatomical structure morphogenesis;ATP binding;cytoplasm;I-kappaB phosphorylation;IkappaB kinase activity;immune response;morphogenesis of an epithelial sheet;nucleotide binding;nucleus;odontogenesis (sensu Vertebrata);osteoclast differentiation;protein binding;transferase activity	TNF_alpha_NF_kB,  Tumor Suppressor
10970	CKAP4	cytoskeleton-associated protein 4	NM_006825	NP_006816.2	ENSG00000136026	chr12:105156931 - 105165759	endoplasmic reticulum;integral to membrane;membrane;membrane fraction	Tumor Suppressor
1163	CKS1B	CDC28 protein kinase regulatory subunit 1B	NM_001826	NP_001817.1	ENSG00000173207	chr1:153213845 - 153217877	cell cycle;cell division;cell proliferation;cyclin-dependent protein kinase regulator activity;kinase activity;protein binding;regulation of cyclin-dependent protein kinase activity	Tumor Suppressor,  Entrez Query:Oncogene
9635	CLCA2	chloride channel, calcium activated, family member 2	NM_006536	NP_006527.1	ENSG00000137975	chr1:86662518 - 86693798	chloride channel activity;integral to plasma membrane;transport	Alpha6Beta4 Integrin,  Tumor Suppressor
9075	CLDN2	claudin 2	NM_020384	NP_065117.1	ENSG00000165376	chrX:106058114 - 106058807	calcium-independent cell-cell adhesion;identical protein binding;integral to membrane;membrane;structural molecule activity;tight junction	Tumor Suppressor
137075	CLDN23	claudin 23	NM_194284	NP_919260.2	ENSG00000176305	chr8:8597318 - 8598197	calcium-independent cell-cell adhesion;identical protein binding;integral to membrane;membrane;structural molecule activity;tight junction	Tumor Suppressor
63967	CLSPN	claspin homolog (Xenopus laevis)	NM_022111	NP_071394.2	ENSG00000092853	chr1:35974683 - 36008058	biological_process;cell cycle;cellular_component;chromosome;DNA binding;DNA repair;nucleus;protein binding	Stability,  Tumor Suppressor,  Entrez Query:Oncogene
1191	CLU	clusterin	NM_001831	NP_976084.1	ENSG00000120885	chr8:27511674 - 27528215	apoptosis;cell death;complement activation, classical pathway;extracellular space;innate immune response;lipid metabolic process	Stability,  Tumor Suppressor
116173	CMTM5	CKLF-like MARVEL transmembrane domain containing 5	NM_001037288, NM_138460	NP_001032365.1, NP_612469.1	ENSG00000166091	chr14:22916300 - 22918536	chemotaxis;cytokine activity;extracellular space;integral to membrane;membrane	Tumor Suppressor
29883	CNOT7	CCR4-NOT transcription complex, subunit 7	NM_054026, NM_013354	NP_473367.2, NP_037486.2	ENSG00000198791	chr8:17132599 - 17147032	carbohydrate metabolic process;CCR4-NOT complex;nucleus;protein binding;regulation of transcription, DNA-dependent;signal transducer activity;signal transduction;transcription;transcription factor activity	Tumor Suppressor
152330	CNTN4	contactin 4	NM_175607, NM_175613, NM_175612	NP_783200.1, NP_783302.1, NP_783301.1	ENSG00000144619	chr3:2588187 - 3072904	axon;axon guidance;axonal fasciculation;brain development;cell adhesion;GPI anchor binding;negative regulation of neuron differentiation;nervous system development;neurite development;neuron adhesion;plasma membrane;protein binding;regulation of synaptic plasticity	Tumor Suppressor
27255	CNTN6	contactin 6	NM_014461	NP_055276.1	ENSG00000134115	chr3:1164692 - 1420102	cell adhesion;central nervous system development;GPI anchor binding;membrane;Notch signaling pathway;protein binding	Tumor Suppressor
9318	COPS2	COP9 constitutive photomorphogenic homolog subunit 2 (Arabidopsis)	NM_004236	NP_004227.1	ENSG00000166200	chr15:47207438 - 47235067	cell proliferation;cytoplasm;negative regulation of transcription;nucleus;protein binding;signal transducer activity;signal transduction;signalosome complex;transcription corepressor activity;transcription from RNA polymerase II promoter	Tumor Suppressor
51692	CPSF3	cleavage and polyadenylation specific factor 3, 73kDa	NM_016207	NP_057291.1	ENSG00000119203	chr2:9481353 - 9530597	hydrolase activity;mRNA cleavage;mRNA polyadenylation;nucleoplasm;nucleus;RNA binding	Tumor Suppressor
1385	CREB1	cAMP responsive element binding protein 1	NM_004379, NM_134442	NP_004370.1, NP_604391.1	ENSG00000118260	chr2:208128604 - 208170027	nucleus;protein dimerization activity;regulation of transcription, DNA-dependent;sequence-specific DNA binding;signal transduction;transcription cofactor activity;transcription factor activity	EGFR1,  Tumor Suppressor
1387	CREBBP	CREB binding protein (Rubinstein-Taybi syndrome)	NM_004380, NM_001079846	NP_004371.2, NP_001073315.1	ENSG00000005339	chr16:3717719 - 3869918	acetyltransferase activity;cytoplasm;histone acetylation;histone acetyltransferase activity;homeostatic process;metal ion binding;MyoD binding;N-terminal peptidyl-lysine acetylation;nucleus;positive regulation of transcription;protein binding;protein complex assembly;regulation of transcription, DNA-dependent;response to hypoxia;signal transducer activity;signal transduction;transcription coactivator activity;transcription factor activity;transferase activity;zinc ion binding	Androgen Receptor,  Hedgehog,  TGFBR,  TNF_alpha_NF_kB,  Futreal et al 2004,  Mitelman 2000,  Stability,  Tumor Suppressor,  Translocation
1389	CREBL2	cAMP responsive element binding protein-like 2	NM_001310	NP_001301.1	ENSG00000111269	chr12:12656373 - 12686199	nucleus;regulation of transcription, DNA-dependent;signal transduction;transcription;transcription factor activity	Tumor Suppressor
8804	CREG1	cellular repressor of E1A-stimulated genes 1	NM_003851	NP_003842.1	ENSG00000143162	chr1:165778158 - 165789602	cell proliferation;multicellular organismal development;regulation of cell growth;regulation of transcription from RNA polymerase II promoter;RNA polymerase II transcription factor activity;transcription corepressor activity;transcription factor binding;transcription factor complex	Tumor Suppressor
1398	CRK	v-crk sarcoma virus CT10 oncogene homolog (avian)	NM_016823, NM_005206	NP_058431.2, NP_005197.3	ENSG00000167193	chr17:1273556 - 1306161	actin cytoskeleton organization and biogenesis;cell motility;cytoplasm;intracellular signaling cascade;nucleus;protein binding;protein phosphorylated amino acid binding;regulation of transcription from RNA polymerase II promoter;SH2 domain binding;SH3/SH2 adaptor activity	EGFR1,  Kit Receptor,  Stability,  Tumor Suppressor,  Entrez Query:Oncogene
1440	CSF3	colony stimulating factor 3 (granulocyte)	NM_172220, NM_000759, NM_172219	NP_757374.1, NP_000750.1, NP_757373.1	ENSG00000108342	chr17:35425253 - 35426738	cell-cell signaling;cellular defense response;cytokine activity;cytokine and chemokine mediated signaling pathway;enzyme binding;extracellular region;extracellular space;granulocyte colony-stimulating factor receptor binding;granulocyte differentiation;immune response;interleukin-6 receptor binding;multicellular organismal development;positive regulation of cell proliferation	Mitelman 2000,  Tumor Suppressor
64651	CSRNP1	AXIN1 up-regulated 1	NM_033027	NP_149016.2	ENSG00000144655	chr3:39159549 - 39163177	apoptosis;cellular_component;molecular_function;nucleus	Tumor Suppressor
1473	CST5	cystatin D	NM_001900	NP_001891.2	ENSG00000170367	chr20:23804824 - 23808313	cysteine protease inhibitor activity	Tumor Suppressor
1474	CST6	cystatin E/M	NM_001323	NP_001314.1	ENSG00000175315	chr11:65536091 - 65537447	anatomical structure morphogenesis;cornified envelope;cysteine protease inhibitor activity;epidermis development	Tumor Suppressor
10664	CTCF	CCCTC-binding factor (zinc finger protein)	NM_006565	NP_006556.1	ENSG00000102974	chr16:66202236 - 66229276	cell cycle;intracellular;metal ion binding;negative regulation of progression through cell cycle;negative regulation of transcription from RNA polymerase II promoter;nucleic acid binding;nucleus;positive regulation of transcription, DNA-dependent;protein binding;RNA polymerase II transcription factor activity;transcription;transcription corepressor activity;transcription factor activity;zinc ion binding	TGFBR,  Tumor Suppressor
10217	CTDSPL	CTD (carboxy-terminal domain, RNA polymerase II, polypeptide A) small phosphatase-like	NM_005808, NM_001008392	NP_005799.2, NP_001008393.1	ENSG00000144677	chr3:37878694 - 37997362	biological_process;cellular_component;molecular_function;nucleus;phosphoric monoester hydrolase activity	Tumor Suppressor
1490	CTGF	connective tissue growth factor	NM_001901	NP_001892.1	ENSG00000118523	chr6:132312096 - 132314005	angiogenesis;cartilage condensation;cell adhesion;cell differentiation;cell migration;cell-matrix adhesion;DNA replication;epidermis development;extracellular region;extracellular space;fibroblast growth factor receptor signaling pathway;heparin binding;insulin-like growth factor binding;integrin binding;integrin-mediated signaling pathway;ossification;plasma membrane;protein binding;proteinaceous extracellular matrix;regulation of cell growth;response to wounding;soluble fraction	Stability,  Tumor Suppressor
1495	CTNNA1	catenin (cadherin-associated protein), alpha 1, 102kDa	NM_001903	NP_001894.2	ENSG00000044115	chr5:138145512 - 138297677	actin cytoskeleton;apical junction assembly;cadherin binding;cell adhesion;protein binding;structural molecule activity;vinculin binding	Tumor Suppressor
1499	CTNNB1	catenin (cadherin-associated protein), beta 1, 88kDa	NM_001904	NP_001895.1	ENSG00000168036	chr3:41240563 - 41255837	alpha-catenin binding;androgen receptor binding;androgen receptor signaling pathway;apical part of cell;basolateral plasma membrane;beta-catenin destruction complex;binding;bone resorption;cadherin binding;cell fate determination;cell fate specification;cell maturation;cell-cell adherens junction;cell-cell adhesion;cellular morphogenesis during differentiation;chromatin binding;cytoplasm;cytoskeleton;dorsal/ventral axis specification;ectoderm development;embryonic arm morphogenesis;embryonic digit morphogen	Androgen Receptor,  TGFBR,  Wnt,  Futreal et al 2004,  Mitelman 2000,  Vogelstein and Kinzler 2004,  Stability,  Tumor Suppressor,  Entrez Query:Oncogene,  Missense mutation
1500	CTNND1	catenin (cadherin-associated protein), delta 1	NM_001085463, NM_001085469, NM_001085468, NM_001085466, NM_001085460, NM_001085467, NM_001085461, NM_001085459, NM_001085464, NM_001085458, NM_001331, NM_001085462, NM_001085465	NP_001078932.1, NP_001078938.1, NP_001078937.1, NP_001078935.1, NP_001078929.1, NP_001078936.1, NP_001078930.1, NP_001078928.1, NP_001078933.1, NP_001078927.1, NP_001322.1, NP_001078931.1, NP_001078934.1	ENSG00000198561	chr11:57315526 - 57340356	binding;cell-cell adhesion;cytoplasm;cytoskeleton;nucleus;protein binding;regulation of transcription, DNA-dependent;structural molecule activity;transcription;Wnt receptor signaling pathway	EGFR1,  Stability,  Tumor Suppressor
8454	CUL1	cullin 1	NM_003592	NP_003583.2	ENSG00000055130	chr7:148058147 - 148128607	cell cycle;cell cycle arrest;G1/S transition of mitotic cell cycle;induction of apoptosis by intracellular signals;negative regulation of cell proliferation;protein binding;ubiquitin cycle	NOTCH,  TGFBR,  TNF_alpha_NF_kB,  Wnt,  Tumor Suppressor
8453	CUL2	cullin 2	NM_003591	NP_003582.2	ENSG00000108094	chr10:35339244 - 35400251	cell cycle;cell cycle arrest;G1/S transition of mitotic cell cycle;induction of apoptosis by intracellular signals;negative regulation of cell proliferation;protein binding;ubiquitin cycle	Tumor Suppressor
1523	CUX1	cut-like 1, CCAAT displacement protein (Drosophila)	NM_181500, NM_001913, NM_181552	NP_852477.1, NP_001904.2, NP_853530.2	ENSG00000160967	chr7:101247639 - 101679042	auditory receptor cell differentiation;chromatin binding;integral to membrane;lung development;membrane;multicellular organismal development;negative regulation of transcription from RNA polymerase II promoter;nucleus;RNA polymerase II transcription factor activity;sequence-specific DNA binding;transcription factor activity;transcriptional repressor activity;transport	Tumor Suppressor
6387	CXCL12	chemokine (C-X-C motif) ligand 12 (stromal cell-derived factor 1)	NM_000609, NM_001033886, NM_199168	NP_000600.1, NP_001029058.1, NP_954637.1	ENSG00000107562	chr10:44191392 - 44200459	calcium ion homeostasis;cell adhesion;cell-cell signaling;chemokine activity;chemotaxis;circulation;extracellular region;extracellular space;G-protein coupled receptor protein signaling pathway;growth factor activity;immune response;inflammatory response;regulation of actin polymerization and/or depolymerization;response to virus;signal transducer activity;signal transduction	Stability,  Tumor Suppressor
7852	CXCR4	chemokine (C-X-C motif) receptor 4	NM_001008540, NM_003467	NP_001008540.1, NP_003458.1	ENSG00000121966	chr2:136588908 - 136592100	actin binding;activation of MAPK activity;ameboidal cell migration;apoptosis;brain development;C-C chemokine receptor activity;C-X-C chemokine receptor activity;chemotaxis;coreceptor activity;cytoplasm;elevation of cytosolic calcium ion concentration;G-protein coupled receptor protein signaling pathway;germ cell development;germ cell migration;growth cone;immune response;inflammatory response;integral to plasma membrane;leading edge;motor axon guidance;myosin light chain binding;neuron migration;patterning 	Stability,  Tumor Suppressor,  Entrez Query:Oncogene
57007	CXCR7	chemokine (C-X-C motif) receptor 7	NM_020311	NP_064707.1	ENSG00000144476	chr2:237153847 - 237154936	biological_process;G-protein coupled receptor protein signaling pathway;integral to membrane;membrane;receptor activity;rhodopsin-like receptor activity;signal transduction	Futreal et al 2004,  Mitelman 2000,  Tumor Suppressor,  Translocation
11068	CYB561D2	cytochrome b-561 domain containing 2	NM_007022	NP_008953.1	ENSG00000114395	chr3:50363868 - 50366179	electron transport;integral to membrane;iron ion binding;membrane;metal ion binding;transport	Tumor Suppressor
1535	CYBA	cytochrome b-245, alpha polypeptide	NM_000101	NP_000092.2	ENSG00000051523	chr16:87237261 - 87244922	cytoplasm;electron carrier activity;electron transport;heme binding;iron ion binding;membrane;metal ion binding;mitochondrion;protein binding;superoxide metabolic process;transport	Tumor Suppressor
114757	CYGB	cytoglobin	NM_134268	NP_599030.1	ENSG00000161544	chr17:72036254 - 72045219	cell soma;heme binding;iron ion binding;metal ion binding;neuron projection;oxygen binding;oxygen transport;oxygen transporter activity;peroxidase activity;response to oxidative stress;transport	Tumor Suppressor
1540	CYLD	cylindromatosis (turban tumor syndrome)	NM_001042412, NM_015247	NP_001035877.1, NP_056062.1	ENSG00000083799	chr16:49341110 - 49387920	cell cycle;cysteine-type peptidase activity;cytoskeleton;intracellular;negative regulation of progression through cell cycle;ribosome;structural constituent of ribosome;translation;ubiquitin cycle;ubiquitin thiolesterase activity;ubiquitin-dependent protein catabolic process	TNF_alpha_NF_kB,  Futreal et al 2004,  Vogelstein and Kinzler 2004,  Tumor Suppressor,  Entrez Query:Oncogene,  Frameshift mutation,  Missense mutation,  Nonsense mutation,  Splicing mutation
1594	CYP27B1	cytochrome P450, family 27, subfamily B, polypeptide 1	NM_000785	NP_000776.1	ENSG00000111012	chr12:56443191 - 56447091	calcidiol 1-monooxygenase activity;calcium ion homeostasis;calcium ion transport;electron transport;heme binding;iron ion binding;lipid metabolic process;membrane;metal ion binding;mitochondrion;monooxygenase activity;oxygen binding;vitamin biosynthetic process	Tumor Suppressor
3491	CYR61	cysteine-rich, angiogenic inducer, 61	NM_001554	NP_001545.2	ENSG00000142871	chr1:85819255 - 85821313	anatomical structure morphogenesis;cell adhesion;cell proliferation;chemotaxis;extracellular region;heparin binding;insulin-like growth factor binding;patterning of blood vessels;regulation of cell growth	Tumor Suppressor
153090	DAB2IP	DAB2 interacting protein	NM_138709, NM_032552	NP_619723.1, NP_115941.2	ENSG00000136848	chr9:123369288 - 123585645	cell cycle;GTPase activator activity;intracellular;membrane;negative regulation of progression through cell cycle;regulation of small GTPase mediated signal transduction	Tumor Suppressor
1612	DAPK1	death-associated protein kinase 1	NM_004938	NP_004929.2	ENSG00000196730	chr9:89303812 - 89512099	actin cytoskeleton;apoptosis;ATP binding;calmodulin binding;induction of apoptosis by extracellular signals;kinase activity;nucleotide binding;protein amino acid phosphorylation;protein kinase cascade;protein serine/threonine kinase activity;signal transduction;transferase activity	Protein Kinase,  Stability,  Tumor Suppressor,  Entrez Query:Oncogene
1620	DBC1	deleted in bladder cancer 1	NM_014618	NP_055433.2	ENSG00000078725	chr9:120969182 - 121115454	cell cycle;cell cycle arrest;cell death;cytoplasm;protein binding	Tumor Suppressor
1630	DCC	deleted in colorectal carcinoma	NM_005215	NP_005206.2	ENSG00000187323	chr18:48121155 - 49311021	apoptosis;axon;axonogenesis;cell cycle;induction of apoptosis;integral to plasma membrane;membrane;multicellular organismal development;negative regulation of progression through cell cycle;neuron migration;protein binding;transmembrane receptor activity	Tumor Suppressor
1654	DDX3X	DEAD (Asp-Glu-Ala-Asp) box polypeptide 3, X-linked	NM_001356	NP_001347.3	ENSG00000124487	chrX:41078449 - 41091916	ATP binding;ATP-dependent RNA helicase activity;cytoplasm;DNA binding;hydrolase activity;nucleotide binding;nucleus;RNA binding	TNF_alpha_NF_kB,  Tumor Suppressor
1655	DDX5	DEAD (Asp-Glu-Ala-Asp) box polypeptide 5	NM_004396	NP_004387.1	ENSG00000108654	chr17:59926502 - 59932699	ATP binding;ATP-dependent helicase activity;cell growth;hydrolase activity;mRNA processing;nucleotide binding;nucleus;positive regulation of transcription;protein binding;RNA binding;RNA helicase activity;RNA splicing;spliceosome;transcription cofactor activity	Tumor Suppressor
50514	DEC1	deleted in esophageal cancer 1	NM_017418	NP_059114.1	ENSG00000173077	chr9:117178802 - 117204225	cell cycle;negative regulation of cell proliferation;negative regulation of progression through cell cycle	Tumor Suppressor
1687	DFNA5	deafness, autosomal dominant 5	NM_004403, NM_001127454, NM_001127453	NP_004394.1, NP_001120926.1, NP_001120925.1	ENSG00000105928	chr7:24705169 - 24755918	hair cell differentiation;sensory perception of sound	Tumor Suppressor
9704	DHX34	DEAH (Asp-Glu-Ala-His) box polypeptide 34	NM_014681	NP_055496.2	ENSG00000134815	chr19:52548127 - 52577201	ATP binding;helicase activity;hydrolase activity;nucleotide binding;RNA binding	Tumor Suppressor
1660	DHX9	DEAH (Asp-Glu-Ala-His) box polypeptide 9	NM_001357	NP_001348.2	ENSG00000135829	chr1:181078324 - 181123192	ATP binding;ATP-dependent DNA helicase activity;ATP-dependent RNA helicase activity;cytoplasm;DNA binding;double-stranded RNA binding;hydrolase activity;intracellular;nucleotide binding;nucleus;protein binding	Stability,  Tumor Suppressor
11083	DIDO1	death inducer-obliterator 1	NM_080796, NM_033081, NM_080797	NP_542986.1, NP_149072.1, NP_542987.2	ENSG00000101191	chr20:60981029 - 61013409	apoptosis;metal ion binding;nucleus;protein binding;transcription;zinc ion binding	Tumor Suppressor
148252	DIRAS1	DIRAS family, GTP-binding RAS-like 1	NM_145173	NP_660156.1	ENSG00000176490	chr19:2668207 - 2668804	GTP binding;intracellular;membrane;nucleotide binding;small GTPase mediated signal transduction	Tumor Suppressor
9077	DIRAS3	DIRAS family, GTP-binding RAS-like 3	NM_004675	NP_004666.1	ENSG00000162595	chr1:68284878 - 68285568	GTP binding;GTPase activity;imprinting;membrane;nucleotide binding;regulation of cyclin-dependent protein kinase activity;small GTPase mediated signal transduction	Protein Kinase,  Tumor Suppressor
22943	DKK1	dickkopf homolog 1 (Xenopus laevis)	NM_012242	NP_036374.1	ENSG00000107984	chr10:53744200 - 53746573	embryonic limb morphogenesis;extracellular region;growth factor activity;low-density lipoprotein receptor binding;multicellular organismal development;negative regulation of Wnt receptor signaling pathway;plasma membrane;protein binding;signal transducer activity;Wnt receptor signaling pathway	Wnt,  Tumor Suppressor
27122	DKK3	dickkopf homolog 3 (Xenopus laevis)	NM_015881	NP_056965.3	ENSG00000050165	chr11:11942586 - 11986705	anatomical structure morphogenesis;extracellular region;extracellular space;multicellular organismal development;negative regulation of Wnt receptor signaling pathway;Wnt receptor signaling pathway	Tumor Suppressor
10395	DLC1	deleted in liver cancer 1	NM_006094, NM_182643, NM_024767	NP_006085.2, NP_872584.1, NP_079043.2	ENSG00000164741	chr8:12987690 - 13401951	cytoplasm;cytoskeleton organization and biogenesis;GTPase activator activity;intracellular;negative regulation of cell growth;protein binding;regulation of cell adhesion;Rho GTPase activator activity;signal transduction	Tumor Suppressor
9940	DLEC1	deleted in lung and esophageal cancer 1	NM_007337, NM_007335	NP_031363.2, NP_031361.2	ENSG00000008226	chr3:38055720 - 38139100	cell cycle;cytoplasm;molecular_function;negative regulation of cell proliferation;negative regulation of progression through cell cycle	Tumor Suppressor
1741	DLG3	discs, large homolog 3 (neuroendocrine-dlg, Drosophila)	NM_021120, NM_020730	NP_066943.2, NP_065781.1	ENSG00000082458	chrX:69581776 - 69638844	cellular_component;guanylate kinase activity;negative regulation of cell proliferation;protein binding	Tumor Suppressor
9787	DLGAP5	discs, large homolog 7 (Drosophila)	NM_014750	NP_055565.2	ENSG00000126787	chr14:54684821 - 54725650	cell cycle;cell proliferation;cell-cell signaling;M phase of mitotic cell cycle;mitotic chromosome movement towards spindle pole;nucleus;phosphoprotein phosphatase activity;positive regulation of mitotic metaphase/anaphase transition;protein binding;spindle pole centrosome	Stability,  Tumor Suppressor
8788	DLK1	delta-like 1 homolog (Drosophila)	NM_003836	NP_003827.3	ENSG00000185559	chr14:100263158 - 100270986	extracellular space;integral to membrane;membrane;molecular_function;multicellular organismal development;protein binding;soluble fraction	Tumor Suppressor
9988	DMTF1	cyclin D binding myb-like transcription factor 1	NM_021145	NP_066968.3	ENSG00000135164	chr7:86632193 - 86662392	cell cycle;mRNA processing;nucleus;regulation of transcription, DNA-dependent;RNA splicing;spliceosome;transcription factor activity	Tumor Suppressor
9093	DNAJA3	DnaJ (Hsp40) homolog, subfamily A, member 3	NM_005147	NP_005138.3	ENSG00000103423	chr16:4415883 - 4444916	cytosol;heat shock protein binding;metal ion binding;mitochondrial matrix;mitochondrion;nucleus;protein folding;regulation of apoptosis;small GTPase mediated signal transduction;small GTPase regulator activity;unfolded protein binding;zinc ion binding	Stability,  Tumor Suppressor
11080	DNAJB4	DnaJ (Hsp40) homolog, subfamily B, member 4	NM_007034	NP_008965.2	ENSG00000162616	chr1:78243382 - 78254519	heat shock protein binding;protein folding;response to heat;response to unfolded protein;unfolded protein binding	Tumor Suppressor
55735	DNAJC11	DnaJ (Hsp40) homolog, subfamily C, member 11	NM_018198	NP_060668.2	ENSG00000007923	chr1:6618321 - 6684447	heat shock protein binding;protein folding	Tumor Suppressor
1786	DNMT1	DNA (cytosine-5-)-methyltransferase 1	NM_001379	NP_001370.1	ENSG00000130816	chr19:10105342 - 10166575	DNA (cytosine-5-)-methyltransferase activity;DNA binding;DNA methylation;gene silencing;heterochromatin;metal ion binding;methyltransferase activity;negative regulation of transcription from RNA polymerase II promoter;nucleus;replication fork;transcription;transcription factor binding;transcriptional repressor activity;transferase activity;zinc ion binding	Stability,  Tumor Suppressor
1789	DNMT3B	DNA (cytosine-5-)-methyltransferase 3 beta	NM_175848, NM_175849, NM_006892	NP_787044.1, NP_787045.1, NP_008823.1	ENSG00000088305	chr20:30831790 - 30859370	DNA (cytosine-5-)-methyltransferase activity;DNA binding;DNA methylation;metal ion binding;methyltransferase activity;nucleus;protein binding;site-specific DNA-methyltransferase (cytosine-specific) activity;transferase activity;zinc ion binding	Tumor Suppressor,  Entrez Query:Oncogene
1796	DOK1	docking protein 1, 62kDa (downstream of tyrosine kinase 1)	NM_001381	NP_001372.1	ENSG00000115325	chr2:74635389 - 74637749	cell surface receptor linked signal transduction;insulin receptor binding;protein binding;transmembrane receptor protein tyrosine kinase signaling pathway	Kit Receptor,  Protein Kinase,  Tumor Suppressor
84444	DOT1L	DOT1-like, histone H3 methyltransferase (S. cerevisiae)	NM_032482	NP_115871.1	ENSG00000104885	chr19:2115183 - 2180791	chromatin modification;histone-lysine N-methyltransferase activity;methyltransferase activity;nucleus;transferase activity	Tumor Suppressor
1801	DPH1	DPH1 homolog (S. cerevisiae)	NM_001383	NP_001374.3	ENSG00000108963	chr17:1880198 - 1891901	translation	Tumor Suppressor
1803	DPP4	dipeptidyl-peptidase 4 (CD26, adenosine deaminase complexing protein 2)	NM_001935	NP_001926.2	ENSG00000197635	chr2:162558038 - 162638737	aminopeptidase activity;dipeptidyl-peptidase IV activity;immune response;integral to membrane;membrane;prolyl oligopeptidase activity;proteolysis	Tumor Suppressor
55332	DRAM	-	NM_018370	NP_060840.2	ENSG00000136048	chr12:100795698 - 100839169		Tumor Suppressor
4733	DRG1	developmentally regulated GTP binding protein 1	NM_004147	NP_004138.1	ENSG00000185721	chr22:30125669 - 30159957	GTP binding;intracellular;multicellular organismal development;nucleotide binding;transcription;transcription factor binding	Tumor Suppressor
1848	DUSP6	dual specificity phosphatase 6	NM_022652, NM_001946	NP_073143.2, NP_001937.2	ENSG00000139318	chr12:88267161 - 88269947	cytoplasm;hydrolase activity;inactivation of MAPK activity;MAP kinase phosphatase activity;protein amino acid dephosphorylation;protein serine/threonine phosphatase activity;protein tyrosine phosphatase activity;regulation of progression through cell cycle;soluble fraction	Phosphatase,  Tumor Suppressor
1869	E2F1	E2F transcription factor 1	NM_005225	NP_005216.1	ENSG00000101412	chr20:31728198 - 31737731	apoptosis;cell cycle;cell proliferation;cytoplasm;forebrain development;G1 phase of mitotic cell cycle;negative regulation of transcription from RNA polymerase II promoter;nucleus;positive regulation of transcription from RNA polymerase II promoter;protein binding;regulation of progression through cell cycle;regulation of transcription, DNA-dependent;transcription;transcription corepressor activity;transcription factor activity;transcription factor complex;transcriptional activator activity	Stability,  Tumor Suppressor
1870	E2F2	E2F transcription factor 2	NM_004091	NP_004082.1	ENSG00000007968	chr1:23708958 - 23729872	cell cycle;nucleus;protein binding;regulation of progression through cell cycle;regulation of transcription, DNA-dependent;RNA polymerase II transcription factor activity;transcription;transcription factor activity;transcription factor complex;transcription initiation from RNA polymerase II promoter	Tumor Suppressor
